elapsed_min,app_mb,wv_count,wv_total_mb,grand_total_mb,handles,threads
69.5,373.7,21,2680.3,3054,1659,50
70,379,21,2683.1,3062.1,1750,64
70.5,382.3,21,2701.3,3083.6,1659,64
71,383.4,21,2709.6,3093,1671,63
71.5,379.8,21,2715.4,3095.2,1666,64
72,384,21,2700.3,3084.3,1640,51
72.5,355.5,21,2714,3069.5,1659,64
73,355.8,21,2708,3063.8,1662,64
73.5,363,21,2711.4,3074.4,1654,63
74,366,21,2715.4,3081.4,1651,63
74.5,367.8,21,2717.9,3085.7,1614,49
75,380.4,21,2696.9,3077.3,1648,63
75.5,381.2,21,2713.7,3094.9,1651,63
76,382.6,21,2706.3,3088.9,1683,62
76.5,388.4,21,2711.1,3099.5,1723,69
77,396.1,21,2715.7,3111.8,1719,49
77.5,365.6,21,2733.8,3099.4,1650,63
78,363.1,21,2713.4,3076.5,1660,64
78.5,365.7,21,2725.1,3090.8,1642,62
79,374,21,2729.6,3103.6,1696,64
79.5,382.4,21,2731.1,3113.5,1621,49
80,389.3,21,2750,3139.3,1670,61
80.5,392.6,21,2746.4,3139,1677,61
81,379.6,21,2727.6,3107.2,1647,63
81.5,352.6,21,2723.7,3076.3,1646,63
82,355.4,21,2730.6,3086,1612,49
82.5,364.1,21,2752.5,3116.6,1647,63
83,365.9,21,2811.7,3177.6,1717,73
83.5,361.6,21,2709.5,3071.1,1656,63
84,371.7,21,2716.4,3088.1,1676,61
84.5,378.2,21,2720,3098.2,1625,49
85,365.6,21,2740.6,3106.2,1648,63
85.5,365.2,21,2733.7,3098.9,1680,62
86,368.6,21,2738.9,3107.5,1689,62
86.5,356.6,21,2728.3,3084.9,1652,63
87.1,363.8,21,2738.3,3102.1,1579,49
87.6,360.6,21,2745.2,3105.8,1650,63
88.1,361.9,21,2743.5,3105.4,1658,63
88.6,368.3,21,2739.1,3107.4,1686,62
89.1,376.4,21,2752.9,3129.3,1672,62
89.6,374.1,21,2754.2,3128.3,1612,49
90.1,377.7,21,2747.6,3125.3,1722,62
90.6,382,21,2754.6,3136.6,1684,61
91.1,363.7,21,2754.2,3117.9,1646,62
91.6,372.1,21,2716.4,3088.5,1647,62
92.1,380.3,21,2735.7,3116,1642,53
92.6,382.5,21,2740.3,3122.8,1672,65
93.1,370.6,21,2749.9,3120.5,1664,64
93.6,369.1,21,2748.1,3117.2,1662,64
94.1,365.4,21,2753.8,3119.2,1666,64
94.6,364.1,21,2744,3108.1,1619,51
95.1,357.7,21,2772.6,3130.3,1668,66
95.6,359.9,21,2760.7,3120.6,1659,64
96.1,368,21,2758.1,3126.1,1706,65
96.6,381.8,21,2763.1,3144.9,1678,63
97.1,389.6,21,2766.8,3156.4,1712,50
97.6,369.2,21,2755.7,3124.9,1686,62
98.1,374.6,21,2763.9,3138.5,1692,68
98.6,374.6,21,2764.9,3139.5,1693,67
99.1,374.8,21,2769.4,3144.2,1728,66
99.6,372.6,21,2775.1,3147.7,1630,50
100.1,363.4,21,2743.8,3107.2,1651,63
100.6,371.7,21,2744,3115.7,1647,62
101.1,369.8,21,3178.2,3548,1662,65
101.6,370.9,21,2993.8,3364.7,1660,64
102.1,370.5,21,3003.6,3374.1,1616,49
102.6,365.9,21,3019.4,3385.3,1682,62
103.1,376.6,21,3009.1,3385.7,1669,63
103.6,381.8,21,3007.3,3389.1,1661,64
104.1,379.4,21,2995.2,3374.6,1734,79
104.6,366.6,21,2983.6,3350.2,1626,51
105.1,375.3,21,2977.9,3353.2,1730,63
105.6,382.6,21,2966.5,3349.1,1689,61
106.1,391.3,21,2969.1,3360.4,1665,62
106.6,389.3,21,2975.2,3364.5,1655,63
107.1,389.7,21,2975.2,3364.9,1619,50
107.6,392.8,21,2982.6,3375.4,1726,62
108.1,400.2,21,3042.8,3443,1673,66
108.6,374.3,21,2953.9,3328.2,1653,63
109.1,376.7,21,2960.5,3337.2,1691,62
109.6,379.3,21,2965.4,3344.7,1628,50
110.1,370.9,21,2984,3354.9,1647,62
110.6,371.3,21,2977,3348.3,1642,61
111.1,378,21,2982.6,3360.6,1687,62
111.6,382,21,2975.2,3357.2,1651,62
112.1,384.8,21,2979.7,3364.5,1626,49
112.6,371.9,21,2998.5,3370.4,1695,72
113.1,375.9,21,2990.6,3366.5,1692,69
113.6,381.4,21,2984,3365.4,1758,80
114.1,388.5,21,2994.9,3383.4,1785,66
114.6,397.2,21,3004.2,3401.4,1639,53
115.1,371.7,21,2977.5,3349.2,1661,64
115.6,372.9,21,2982.4,3355.3,1661,64
116.1,375.6,21,2985.1,3360.7,1692,62
116.6,377.3,21,2945.7,3323,1657,62
117.1,379.8,21,2966.4,3346.2,1621,51
117.6,385.4,21,2987.6,3373,1710,65
118.1,382.8,21,2981.2,3364,1673,65
118.6,384.2,21,2984.2,3368.4,1718,67
119.1,388.6,21,2986.8,3375.4,1670,62
119.6,393.6,21,2999.4,3393,1670,49
120.1,403.2,21,2999.7,3402.9,1659,64
120.6,402.7,21,3005.9,3408.6,1691,63
121.1,396,21,2997.4,3393.4,1660,64
121.6,397.6,21,3010.1,3407.7,1699,64
122.1,401.9,21,2998.6,3400.5,1615,48
122.6,377.7,21,3018.4,3396.1,1672,61
123.1,380.9,21,3010.3,3391.2,1666,63
123.6,390.6,21,3006.4,3397,1664,62
124.1,362.7,21,3009.3,3372,1645,63
124.6,361.6,21,3019.4,3381,1606,48
125.1,362.7,21,2993.3,3356,1645,62
125.6,359.4,21,2999.8,3359.2,1642,62
126.1,356.8,21,2999.2,3356,1640,62
126.6,360.4,21,3134.5,3494.9,1667,63
127.1,368.1,21,3079.2,3447.3,1670,50
127.6,351.7,21,3101,3452.7,1656,64
128.1,357.7,21,3091.9,3449.6,1663,63
128.6,365.5,21,3097.4,3462.9,1686,61
129.1,368.4,21,3093.3,3461.7,1650,62
129.6,369.5,21,3096.6,3466.1,1624,49
130.1,383.5,21,3120.6,3504.1,1735,65
130.6,361.5,21,3109.5,3471,1667,66
131.1,362.1,21,3105,3467.1,1666,66
131.6,362.7,21,3103.9,3466.6,1672,65
132.1,360.4,21,3109.1,3469.5,1622,50
132.6,361,21,3119.2,3480.2,1660,64
133.1,372.3,21,3170.8,3543.1,1774,83
133.6,375.8,21,3077.9,3453.7,1686,69
134.1,385,21,3082.8,3467.8,1648,63
134.6,390.6,21,3095.9,3486.5,1650,48
135.1,383.6,21,3095.3,3478.9,1652,63
135.6,385.7,21,3104.7,3490.4,1694,62
136.1,388.5,21,3097.3,3485.8,1697,62
136.6,391.6,21,3104.2,3495.8,1694,70
137.1,369,21,3096.9,3465.9,1651,53
137.6,366.7,21,3116.8,3483.5,1668,64
138.1,367.1,21,3107.6,3474.7,1671,65
138.6,374.8,21,3110.4,3485.2,1704,65
139.1,381.1,21,3112,3493.1,1658,63
139.6,354.6,21,3107,3461.6,1624,51
140.1,372.3,21,3116.3,3488.6,1655,60
140.6,379.9,21,3110.4,3490.3,1704,65
141.1,383.9,21,3114.9,3498.8,1662,64
141.6,385.9,21,3067.4,3453.3,1660,62
142.1,388,21,3087.5,3475.5,1668,50
142.6,370,21,3094.6,3464.6,1650,64
143.1,371.4,21,3098,3469.4,1672,63
143.6,366.2,21,3110.2,3476.4,1673,65
144.1,368.4,21,3118,3486.4,1703,64
144.6,372.1,21,3110.6,3482.7,1614,49
145.1,358.1,21,3111.8,3469.9,1646,63
145.6,360,21,3115.8,3475.8,1670,67
146.1,363,21,3120.3,3483.3,1734,69
146.6,369.1,21,3117.3,3486.4,1748,61
147.1,379.4,21,3108.7,3488.1,1673,49
147.6,366.7,21,3130.5,3497.2,1642,62
148.1,362.4,21,3114.7,3477.1,1664,64
148.6,369.8,21,3117.4,3487.2,1669,64
149.1,361.5,21,3120.8,3482.3,1655,63
149.6,367.1,21,3121.1,3488.2,1660,50
150.1,375,21,3090.7,3465.7,1649,62
150.6,376.5,21,3107.7,3484.2,1663,62
151.1,380.7,21,3102.9,3483.6,1653,62
151.6,380.6,21,3106.4,3487,1651,62
152.1,381.3,21,3110.3,3491.6,1627,49
152.6,389,21,3114.8,3503.8,1738,68
153.1,397.4,21,3120.5,3517.9,1690,62
153.6,408.7,21,3116.7,3525.4,1726,62
154.1,405.9,21,3120.3,3526.2,1655,63
154.6,405.4,21,3111.7,3517.1,1616,49
155.1,383.5,21,3131.8,3515.3,1688,69
155.6,388.7,21,3122.5,3511.2,1709,62
156.1,368.8,21,3122.3,3491.1,1644,61
156.6,378.3,21,3127.4,3505.7,1684,61
157.1,383.6,21,3131.1,3514.7,1651,52
157.6,380,21,3127.2,3507.2,1663,65
158.1,384.6,21,3186,3570.6,1677,63
158.6,383.9,21,3100.7,3484.6,1669,64
159.1,383.8,21,3108.8,3492.6,1658,62
159.6,380.2,21,3122.7,3502.9,1634,52
160.1,380.7,21,3131.9,3512.6,1673,64
160.6,385.1,21,3125.7,3510.8,1711,63
161.1,394,21,3143.2,3537.2,1685,63
161.6,402.4,21,3120.5,3522.9,1734,65
162.1,370,21,3128.4,3498.4,1636,53
162.6,380.8,21,3127.8,3508.6,1711,65
163.1,385.6,21,3137.1,3522.7,1680,66
163.6,385.5,21,3123.8,3509.3,1661,61
164.1,373.4,21,3125.5,3498.9,1665,63
164.6,368.9,21,3129.8,3498.7,1628,51
165.1,357.9,21,3140.8,3498.7,1661,64
165.6,367.3,21,3135.6,3502.9,1693,62
166.1,374.5,21,3136.6,3511.1,1654,62
166.6,371.9,21,3091.4,3463.3,1654,62
167.1,377.7,21,3112.2,3489.9,1624,49
167.6,385.1,21,3133.2,3518.3,1655,63
168.1,361.3,21,3118.9,3480.2,1665,63
168.6,368.3,21,3124.1,3492.4,1689,62
169.1,375.6,21,3128,3503.6,1696,62
169.6,378.9,21,3130.6,3509.5,1627,50
170.1,387.6,21,3130.7,3518.3,1706,71
170.6,393.3,21,3128.9,3522.2,1717,61
171.1,371.8,21,3132.5,3504.3,1651,62
171.6,372.5,21,3136.6,3509.1,1686,62
172.1,381.5,21,3127,3508.5,1621,49
172.6,386.3,21,3135.8,3522.1,1772,77
173.1,386.6,21,3137.5,3524.1,1695,66
173.6,367.5,21,3148.8,3516.3,1684,64
174.1,375.5,21,3137.7,3513.2,1692,69
174.6,376.7,21,3144.8,3521.5,1642,48
175.1,377.8,21,3123.8,3501.6,1691,62
175.6,383,21,3127.9,3510.9,1736,62
176.1,375.6,21,3120.1,3495.7,1666,64
176.6,363.1,21,3123.5,3486.6,1727,76
177.1,371.4,21,3133.8,3505.2,1707,51
177.6,361.7,21,3146.3,3508,1669,66
178.1,365.8,21,3125.9,3491.7,1703,70
178.6,370.4,21,3132.7,3503.1,1674,66
179.1,374.7,21,3137,3511.7,1685,69
179.6,379.8,21,3141.5,3521.3,1589,50
180.1,377.2,21,3148.7,3525.9,1654,62
180.6,375.3,21,3137.2,3512.5,1653,62
181.1,381,21,3141.9,3522.9,1662,61
181.6,383.1,21,3132.8,3515.9,1665,60
182.1,384.6,21,3143.6,3528.2,1615,49
182.6,387.8,21,3148.4,3536.2,1666,59
183.1,389.7,21,3196.1,3585.8,1671,64
183.6,389.5,21,3119.1,3508.6,1702,63
184.1,390.4,21,3127.2,3517.6,1656,62
184.6,395,21,3127.9,3522.9,1621,49
185.1,375.1,21,3137,3512.1,1670,65
185.6,377.6,21,3150.6,3528.2,1776,75
186.1,375.6,21,3144.2,3519.8,1656,63
